Date,Open,High,Low,Close,Prev_Close,Change,Percent_Change,Shares_Traded,Turnover_Cr,PE,PB,Div_Yield,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Prev_Close,VIX_Change,VIX_Percent_Change,Price_Turn,Direction,Near_Close,Near_Contracts,Near_TurnOver,Near_OI,Near_OI_Change,Next_Close,Next_Contracts,Next_TurnOver,Next_OI,Next_OI_Change,Far_Close,Far_Contracts,Far_TurnOver,Far_OI,Far_OI_Change,Week_Day,Week_Num,Trading_Days
05-Feb-2016,7418.25,7503.15,7406.65,7489.1,7404,85.1,1.15,257518899,8628.24,19.99,3,1.54,18.2075,18.3275,16.5425,18.115,18.2075,-0.09,-0.51,0,2,7519.2,176039,988579.64,18489150,-420450,7537.85,6822,38408.9,1240500,68250,7563.45,1611,9096.79,337875,49125,Fri,W2,20
08-Feb-2016,7489.7,7512.55,7363.2,7387.25,7489.1,-101.85,-1.36,176758985,5746.45,19.69,2.96,1.57,18.115,20.4525,17.36,20.2575,18.115,2.14,11.83,0,2,7393.45,186483,1043900.36,19300125,810975,7412.8,8117,45576.57,1272525,32025,7445.45,1248,7020.96,369825,31950,Mon,W2,20
09-Feb-2016,7303.95,7323.45,7275.15,7298.2,7387.25,-89.05,-1.21,218730280,7415.13,19.46,2.93,1.58,20.2575,22.0325,20.2475,21.7275,20.2575,1.47,7.26,0,2,7325.05,185925,1021407.94,18559125,-741000,7344.45,9463,52124.13,1302300,29775,7370.45,1765,9758.72,411525,41700,Tue,W2,20
10-Feb-2016,7264.3,7271.85,7177.75,7215.7,7298.2,-82.5,-1.13,254481339,8129.65,19.27,2.89,1.6,21.7275,23.095,21.435,22.465,21.7275,0.74,3.39,0,2,7246.55,242379,1318174.66,18663375,104250,7264.4,13898,75793.75,1668000,365700,7297.5,2035,11140.07,440025,28500,Wed,W2,20
11-Feb-2016,7203.6,7208.65,6959.95,6976.35,7215.7,-239.35,-3.32,301302956,9250.27,18.65,2.8,1.66,22.465,26.87,22.11,25.965,22.465,3.5,15.58,0,2,6993.45,296451,1576962.7,19754250,1090875,7011.55,20859,111123.53,1983450,315450,7044.95,3463,18544.79,479625,39600,Thu,W2,20
12-Feb-2016,7023.65,7034.8,6869,6980.95,6976.35,4.6,0.07,344210729,11062.63,18.67,2.8,1.66,25.965,25.97,24.0075,24.6725,25.965,-1.29,-4.98,1,1,6990,301936,1579218.93,20826075,1071825,7008.9,20883,109386.08,2176800,193350,7041.75,3316,17446.11,468075,-11550,Fri,W3,20
15-Feb-2016,7057.35,7182.8,7056.8,7162.95,6980.95,182,2.61,365217073,10204.34,19.32,2.87,1.61,24.6725,24.6725,21.7975,22.375,24.6725,-2.3,-9.31,0,1,7161.45,204947,1098566.11,20424450,-401625,7179.15,14198,76276.18,2300400,123600,7206.55,2372,12790.55,475575,7500,Mon,W3,20
16-Feb-2016,7201.25,7204.65,7037.7,7048.25,7162.95,-114.7,-1.6,261607451,7638.39,19.01,2.83,1.64,22.375,23.33,17.32,23.04,22.375,0.67,2.97,0,1,7054.1,227590,1214998,21186750,762300,7071.4,18136,97147.57,2825850,525450,7096.2,1633,8775.87,500100,24525,Tue,W3,20
17-Feb-2016,7058.85,7123.7,6960.65,7108.45,7048.25,60.2,0.85,268017961,7686.32,19.18,2.85,1.63,23.04,23.805,20.6375,21.8325,23.04,-1.21,-5.24,0,1,7120.9,257745,1362487.95,21102600,-84150,7136.95,20377,107938.89,3159675,333825,7164.9,1760,9355.87,508500,8400,Wed,W3,20
18-Feb-2016,7177.4,7215.1,7127.85,7191.75,7108.45,83.3,1.17,254331498,8051.51,19.44,2.89,1.61,21.8325,22.3,19.79,21.485,21.8325,-0.35,-1.59,0,1,7190.85,229991,1238167.75,21626925,524325,7210.8,28515,153872.98,3901125,741450,7241.6,2126,11523.7,554550,46050,Thu,W3,20
19-Feb-2016,7170.55,7226.85,7145.95,7210.75,7191.75,19,0.26,198206480,6156.58,19.5,2.89,1.6,21.485,21.6625,17.6975,20.915,21.485,-0.57,-2.65,0,1,7212.45,173846,938171.38,20550225,-1076700,7232.2,27158,146936.43,4601550,700425,7263.4,1157,6285.75,567975,13425,Fri,WX,20
